db,query,domain,kingdom,phylum,subphylum,class,subclass,ord,subord,family,subfamily,tribe,genus,species,subspecies
ncbi,Diptera,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Brachycera,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,aff. Drosophilidae,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Olbiogaster,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Anisopodidae,Anisopodinae,NA,Olbiogaster,NA,NA
ncbi,Anisopodidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Anisopodidae,NA,NA,NA,NA,NA
ncbi,Axymyiidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Axymyiidae,NA,NA,NA,NA,NA
ncbi,Canacidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Canacidae,NA,NA,NA,NA,NA
ncbi,Cecidomyiidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Cecidomyiidae,NA,NA,NA,NA,NA
ncbi,Atrichopogon,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Ceratopogonidae,Forcipomyiinae,NA,Atrichopogon,NA,NA
ncbi,Culicoides,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Ceratopogonidae,Ceratopogoninae,Culicoidini,Culicoides,NA,NA
ncbi,Forcipomyia,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Ceratopogonidae,Forcipomyiinae,NA,Forcipomyia,NA,NA
ncbi,Stilobezzia,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Ceratopogonidae,Ceratopogoninae,Stilobezziini,Stilobezzia,NA,NA
ncbi,Bezzia,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Ceratopogonidae,Ceratopogoninae,Palpomyiini,Bezzia,NA,NA
ncbi,Sphaeromias,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Ceratopogonidae,Ceratopogoninae,Sphaeromiini,Sphaeromias,NA,NA
ncbi,Ceratopogonidae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Ceratopogonidae,NA,NA,NA,NA,NA
ncbi,Coleoptera,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,NA,NA,NA,NA,NA,NA
ncbi,Forcipomyiinae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Ceratopogonidae,Forcipomyiinae,NA,NA,NA,NA
ncbi,Ceratopogoninae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Ceratopogonidae,Ceratopogoninae,NA,NA,NA,NA
ncbi,Leptoconopinae,NA,Metazoa,Arthropoda,Hexapoda,Insecta,Pterygota,NA,NA,Ceratopogonidae,Leptoconopinae,NA,NA,NA,NA
