domain,kingdom,phylum,subphylum,class,subclass,order,suborder,family,subfamily,tribe,genus,species,subspecies,taxon_name,levels_replaced
Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Neoptera,Diptera,NA,NA,NA,NA,NA,NA,NA,Diptera, subphylum
Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Neoptera,Diptera,Brachycera,NA,NA,NA,NA,NA,NA,Brachycera, subphylum
Eukaryota,Animalia,Arthropoda,NA,Insecta,Neoptera,Diptera,Brachycera,aff. Drosophilidae,NA,NA,NA,NA,NA,aff. Drosophilidae,
Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Neoptera,Diptera,Nematocera,Anisopodidae,Anisopodinae,NA,Olbiogaster,NA,NA,Olbiogaster, subphylum
Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Neoptera,Diptera,Nematocera,Anisopodidae,NA,NA,NA,NA,NA,Anisopodidae, subphylum
Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Neoptera,Diptera,Nematocera,Axymyiidae,NA,NA,NA,NA,NA,Axymyiidae, subphylum
Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Neoptera,Diptera,Brachycera,Canacidae,NA,NA,NA,NA,NA,Canacidae, subphylum
Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Neoptera,Diptera,Nematocera,Cecidomyiidae,NA,NA,NA,NA,NA,Cecidomyiidae, subphylum
Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Neoptera,Diptera,Nematocera,Ceratopogonidae,Forcipomyiinae,NA,Atrichopogon,NA,NA,Atrichopogon, subphylum
Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Neoptera,Diptera,Nematocera,Ceratopogonidae,Ceratopogoninae,Culicoidini,Culicoides,NA,NA,Culicoides, subphylum tribe
Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Neoptera,Diptera,Nematocera,Ceratopogonidae,Forcipomyiinae,NA,Forcipomyia,NA,NA,Forcipomyia, subphylum
Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Neoptera,Diptera,Nematocera,Ceratopogonidae,Ceratopogoninae,Stilobezziini,Stilobezzia,NA,NA,Stilobezzia, subphylum tribe
